Confusion Matrix (Naive Bayes),,,,,,,,,Confusion Matrix (Naive Bayes + Particle Swarm Optimization),,,,,
,,,,,,,,,,,,,,
,True Class,,,Accuracy,69.63,,,,,True Class,,,Accuracy,71.96
Predicted Class,Class 1,Class 2,,Precision (+),78.97,,,,Predicted Class,Class 1,Class 2,,Precision (+),84.69
Class 1,184,49,,Precision (-),58.46,,,,Class 1,177,32,,Precision (-),59.82
Class 2,81,114,,Precision (Total),68.72,,,,Class 2,88,131,,Precision (Total),72.25
,,,,Recall (+),69.43,,,,,,,,Recall (+),66.79
,,,,Recall (-),69.94,,,,,,,,Recall (-),80.37
,,,,Recall (Total),69.69,,,,,,,,Recall (Total),73.58
,,,,SPEC,69.94,,,,,,,,SPEC,80.37
,,,,PPV,78.97,,,,,,,,PPV,84.69
,,,,NPV,58.46,,,,,,,,NPV,59.82
,,,,FNR,30.57,,,,,,,,FNR,33.21
,,,,FPR,30.06,,,,,,,,FPR,19.63
,,,,F-Score (+),73.90,,,,,,,,F-Score (+),74.68
,,,,F-Score (-),63.69,,,,,,,,F-Score (-),68.59
,,,,F-Score (Total),68.79,,,,,,,,F-Score (Total),71.63
